,分数,影评
2622,推荐,"这篇影评可能有剧透

                        我只是一个普通观众，不是十八般武艺的影评家。这注定了我的影评不长，且不会怎么专业。当初是无意中听到田馥甄为电影唱歌，才注意这部电影，然后是陈奕迅的主题曲，最后是发现导演是我一直喜欢的奶茶。于是决定去看，虽然宣传片给我一种炒青春冷饭的疑虑。 票是妻子买的，她是...

                         (展开)"
2623,推荐,"在朋友圈里我说，这次买单一部分为了（后来）情怀，一部分为了周冬雨，一部分为了刘若英。看完电影，本就不算贵的电影票看来还是值。 身处大洪流中，一些人自然而然给电影挂上了“国产青春片”的模式化标签，也以一个半路出家导演去看待刘若英。不知是不是人们对心中情怀期望值...

                         (展开)"
2624,还行,"这篇影评可能有剧透

                        2007年相遇的我们，想着未来一定会成功，衣锦还乡。此时你在喊闹，我在一旁笑着。 2008年相知的我们，刚开始一起打拼，笑尝百味。 2009年相伴的我们，青春年少，对着北京大喊未来的梦想。 2010年相恋的我们，品尝了爱情的甜蜜，却也被现实生活喷了个狗血淋头。 2011年相对的我...

                         (展开)"
2625,推荐,"文|九北鱼 图|微博 01 后来，你成为了谁的后来。 电影的预告片简单易懂，讲述了两个年轻人在十年之间的爱情故事。 林见清与方小晓相遇在2007年的火车上，同是去北京的打拼的年轻人，因为相遇而变得温暖。 2008年，他们相知，2009年，他们相伴，2010年他们相恋。像是两颗孤独而...

                         (展开)"
2626,还行,"电影剧情给我感觉平淡，到影片中间有些深沉，部分看得有些累，觉得甚是乏味。如果没有故事的人，可能会看不下去。 看着刘若英的宣传我就有一种不好的预感，会与赵薇的致青春一样夸大，奈何一晚听了Hebe和E神的歌，兴致下立马买了预售票，目的是为了不让自己反悔。 我的评分是给...

                         (展开)"
2627,推荐,"总想写些什么，几个月来却多次撂笔，读书也好，观影也罢，这一次，看完这部电影，我觉得我是该留下些什么了。 在朋友圈里我说，这次买单一部分为了（后来）情怀，一部分为了周冬雨，一部分为了刘若英。看完电影，本就不算贵的电影票看来还是值。 身处大洪流中，一些人自然而然...

                         (展开)"
2628,还行,"电影技巧： 1黑白和彩色的故事线区分方法  黑白讲现在彩色讲过去  是与过往常规手法不一样的 想说过去的是美好的  现在的奋斗后的我们在怀念过去  ？ 如果不用黑白 也许没那么有质感 这是讨巧的手法 2因为过去与现在的不断闪回手法  虽然安排了一些在台词上有重叠的点去转场 还...

                         (展开)"
2629,力荐,"这篇影评可能有剧透

                        关于后来的我们，关于你 2018年4月28日，星期六，第36天。26号，下午。“偷偷”订了两张票。27号，晚上，去踩了个点，打电话可否约你看场电影，你喜欢的《后来的我们》，明天上映呢。“怎么听着这么没底气？”是的，喜欢你，认真且怂。其实并不是我纠结，而是所有人的纠结，从...

                         (展开)"
2630,较差,"整部电影没有什么逻辑可言，没有任何清晰的剧情。但是却戳中了现实中很多人的痛点，那个曾经我们什么都没有还愿陪着我们，曾经发誓要爱一辈子的人却不会陪我们到最后。等到我们什么都有了，却再也没有后来。尤其是大多数年轻人曾经为了梦想在一线城市漂泊的那些遭遇，会受到很...

                         (展开)"
2631,很差,"这篇影评可能有剧透

                        不吹不黑，男女主演技炸裂，剧情不拖沓，细节可深挖，硬件质量过硬；但是电影所展示的行为和三观不得不说非常恶心了； 已婚且育有一子的男主可随意和前任同住一房且深情拥抱，和女主一同回忆“和前任啪啪啪的细节”？； 结尾出现男女老少举牌怀念年轻时伴侣的场景，莫不是鼓动...

                         (展开)"
2632,力荐,"我没有特别刻骨铭心的爱情经历，但我能够理解故事中的爱而不得，我们不是错了，而是过了，就像是i miss you,有时候更深的含义是 我错过了你。曾经被一个男孩深深地喜欢过，但六年的时光没有使我爱上他，反而是习惯了他的存在，当他离开，我才发现是我错过了他，他对我而言是多...

                         (展开)"
2633,还行,"这篇影评可能有剧透

                        刘若英首部导演作品《后来的我们》注定雄霸五一档期。 预售票房接近一个亿，首日票房破两亿，在接下来的五一假期中，我相信这部现象级的俗套“前任”片将席卷朋友圈和营销圈。 这是一部专门为在KTV嘶吼过刘若英《后来》那首歌的几代人准备的一杯内地奶茶。 是大量化学成分勾兑...

                         (展开)"
2634,推荐,"这篇影评可能有剧透

                        喜欢刘若英的歌的人大概会有这样的感觉，刘若英的歌大部分都是回忆过去。当初是那么的爱，现在已经只是怀念过去。 电影的开始，就是绿皮火车，长长的雪路，还有落叶林，怀旧的画风，安静的小镇，这大概是文青电影的标配。 电影开始是两个身份不一样 ，一个上过大学，一个没有，...

                         (展开)"
2635,推荐,"说实在的，很普通的一部片子，故事情节没毛病，时间线切换妥当，台词略显尴尬，演员演技在线，前期的宣传力度大于最后的收益，这可能就是所谓的希望越大失望越大吧。有点过度消费了我们对《后来》的情怀，最后老父亲的那一段才是真实的情感。整个电影直观或者不直观的感受需要...

                         (展开)"
2636,较差,"今年五一档，能看的电影不多，之前我们推荐过，就两部，刘若英的导演处女作《后来的我们》就是其中一部，当然，无疑也是五一档的最大赢家，根据电资办的票房统计，今天大盘预收3.55亿，该片首日票房2.65亿，按照这个票房走势，预计后市票房将追上甚至超过《前任3》19.42亿的票...

                         (展开)"
2637,还行,"这篇影评可能有剧透

                        其实，这部电影给我的感觉有些鸡肋，观影过程中一边感同身受，但另一边也对女主人设无法完全认同。在全场大部分男女同哭的情况下，泪点负数的我竟无太大反应，反倒是最后老父亲的那封信让我泪飙。其实，男女主若非常相爱，他们根本不会分手，最后一定是圆满。说到底，双方根本...

                         (展开)"
2638,很差,"后来的我们 这部电影从剧情到导演到演员都不是能扛票房的……而且不是口碑发酵就突然两亿预售 !!谁信啊 !? 这波操作也太骚了吧 ??票房比妇联还夸张 !!!!豆瓣评分注水也太厉害了吧  烂片预定!!!心疼我的50块钱票钱 瑟瑟发抖 只能说是文艺女青年的自我感动 我就试一下有没有锁分 ...

                         (展开)"
